Sub-Sub-Title,Sub-Title,Team,bandera,bullet_id,commentId,country,fecha,formatted,id,source_file
,,x countries,Otra,67e70abc9b331c5f2a00f6b4_3,67e70abc9b331c5f2a00f6b4,CORP,2025-Q1,verdi co pilot,67e70abc9b331c5f2a00f6b4_3,67e70abc9b331c5f2a00f6b4.json
,,x countries,Otra,67e70abc9b331c5f2a00f6b4_2,67e70abc9b331c5f2a00f6b4,CORP,2025-Q1,deep dive gpt,67e70abc9b331c5f2a00f6b4_2,67e70abc9b331c5f2a00f6b4.json
,,x countries,Otra,67e70abc9b331c5f2a00f6b4_1,67e70abc9b331c5f2a00f6b4,CORP,2025-Q1,tte marketplace issue,67e70abc9b331c5f2a00f6b4_1,67e70abc9b331c5f2a00f6b4.json
,,x countries,Otra,67f0591469af7f5a43f0a3e4_2,67f0591469af7f5a43f0a3e4,CORP,2025-Q2,deep dive gpt fup capacitacion gemini verdi,67f0591469af7f5a43f0a3e4_2,67f0591469af7f5a43f0a3e4.json
,,x countries,Otra,67f0591469af7f5a43f0a3e4_1,67f0591469af7f5a43f0a3e4,CORP,2025-Q2,tte propuesta de piva,67f0591469af7f5a43f0a3e4_1,67f0591469af7f5a43f0a3e4.json
,,x countries,Otra,67f822b759302f172ad36f2f_2,67f822b759302f172ad36f2f,CORP,2025-Q2,milo de vacas,67f822b759302f172ad36f2f_2,67f822b759302f172ad36f2f.json
,tte,x countries,Otra,67f822b759302f172ad36f2f_1,67f822b759302f172ad36f2f,CORP,2025-Q2,análisis de conversion por mejoras en attestation lite,67f822b759302f172ad36f2f_1,67f822b759302f172ad36f2f.json
,,x countries,Otra,6802b93af4f1b8adb121efa5_3,6802b93af4f1b8adb121efa5,CORP,2025-Q2,creación de repo en fury,6802b93af4f1b8adb121efa5_3,6802b93af4f1b8adb121efa5.json
,,x countries,Otra,6802b93af4f1b8adb121efa5_2,6802b93af4f1b8adb121efa5,CORP,2025-Q2,talleres de deep gpt unificación de tracks,6802b93af4f1b8adb121efa5_2,6802b93af4f1b8adb121efa5.json
,,x countries,Otra,6802b93af4f1b8adb121efa5_1,6802b93af4f1b8adb121efa5,MLB,2025-Q2,check con team tte en vías a escalar br,6802b93af4f1b8adb121efa5_1,6802b93af4f1b8adb121efa5.json
,,x countries,Otra,680d74765f065a09aeeccedb_2,680d74765f065a09aeeccedb,CORP,2025-Q2,deep dive ia - fup,680d74765f065a09aeeccedb_2,680d74765f065a09aeeccedb.json
,,x countries,Otra,680d74765f065a09aeeccedb_3,680d74765f065a09aeeccedb,CORP,2025-Q2,fury - hellow world app,680d74765f065a09aeeccedb_3,680d74765f065a09aeeccedb.json
,,x countries,Otra,680d74765f065a09aeeccedb_1,680d74765f065a09aeeccedb,CORP,2025-Q2,tte - deck monthly,680d74765f065a09aeeccedb_1,680d74765f065a09aeeccedb.json
,,x countries,Otra,681549f81dccb0d74a5248ee_3,681549f81dccb0d74a5248ee,CORP,2025-Q2,ia mini projects fup,681549f81dccb0d74a5248ee_3,681549f81dccb0d74a5248ee.json
,,x countries,Otra,681549f81dccb0d74a5248ee_1,681549f81dccb0d74a5248ee,CORP,2025-Q2,tte monthly,681549f81dccb0d74a5248ee_1,681549f81dccb0d74a5248ee.json
,,x countries,Otra,681549f81dccb0d74a5248ee_2,681549f81dccb0d74a5248ee,CORP,2025-Q2,ia data model design,681549f81dccb0d74a5248ee_2,681549f81dccb0d74a5248ee.json
,tte,x countries,Otra,681d37255c2a5b68233e7fb9_2,681d37255c2a5b68233e7fb9,CORP,2025-Q2,impacto en equipos para traer open loop a q3,681d37255c2a5b68233e7fb9_2,681d37255c2a5b68233e7fb9.json
,tte,x countries,Otra,681d37255c2a5b68233e7fb9_1,681d37255c2a5b68233e7fb9,CORP,2025-Q2,ganancia extra por remedy bancario,681d37255c2a5b68233e7fb9_1,681d37255c2a5b68233e7fb9.json
,ia,x countries,Otra,681d37255c2a5b68233e7fb9_3,681d37255c2a5b68233e7fb9,CORP,2025-Q2,fup mini projectos,681d37255c2a5b68233e7fb9_3,681d37255c2a5b68233e7fb9.json
,ia,x countries,Otra,682b2a7d34d9f722327e1ebb_4,682b2a7d34d9f722327e1ebb,CORP,2025-Q2,2025-Q2 - x countries - [ia] - kick off,682b2a7d34d9f722327e1ebb_4,682b2a7d34d9f722327e1ebb.json
,tte,x countries,Otra,682b2a7d34d9f722327e1ebb_2,682b2a7d34d9f722327e1ebb,CORP,2025-Q2,2025-Q2 - x countries - [tte] - open loop a q3,682b2a7d34d9f722327e1ebb_2,682b2a7d34d9f722327e1ebb.json
,tte,x countries,Otra,682b2a7d34d9f722327e1ebb_3,682b2a7d34d9f722327e1ebb,CORP,2025-Q2,2025-Q2 - x countries - [tte] - casos de tarjetas que no permiten pagos online,682b2a7d34d9f722327e1ebb_3,682b2a7d34d9f722327e1ebb.json
,tte,x countries,Otra,682b2a7d34d9f722327e1ebb_1,682b2a7d34d9f722327e1ebb,CORP,2025-Q2,2025-Q2 - x countries - [tte] - economics,682b2a7d34d9f722327e1ebb_1,682b2a7d34d9f722327e1ebb.json
,tte,x countries,Otra,6830b9bb682eb41cd0c7e159_1,6830b9bb682eb41cd0c7e159,CORP,2025-Q2,preparación monthly,6830b9bb682eb41cd0c7e159_1,6830b9bb682eb41cd0c7e159.json
